country,iso2c,iso3c,year,NY.GDP.MKTP.CD
Albania,AL,ALB,2022,19017242586
Belgium,BE,BEL,2022,5.93439E+11
Bulgaria,BG,BGR,2022,90642851836
Canada,CA,CAN,2022,2.16148E+12
Croatia,HR,HRV,2022,71198635102
Czechia,CZ,CZE,2022,3.01831E+11
Denmark,DK,DNK,2022,4.01946E+11
Estonia,EE,EST,2022,38376046175
Finland,FI,FIN,2022,2.80242E+11
France,FR,FRA,2022,2.7963E+12
Germany,DE,DEU,2022,4.1636E+12
Greece,GR,GRC,2022,2.18881E+11
Hungary,HU,HUN,2022,1.77006E+11
Iceland,IS,ISL,2022,28770206627
Italy,IT,ITA,2022,2.103E+12
Latvia,LV,LVA,2022,38018905782
Lithuania,LT,LTU,2022,71033884500
Luxembourg,LU,LUX,2022,81641807866
Montenegro,ME,MNE,2022,6229801581
Netherlands,NL,NLD,2022,1.04654E+12
North Macedonia,MK,MKD,2022,13932436550
Norway,NO,NOR,2022,5.93727E+11
Poland,PL,POL,2022,6.95607E+11
Portugal,PT,PRT,2022,2.56899E+11
Romania,RO,ROU,2022,2.96354E+11
Slovak Republic,SK,SVK,2022,1.15929E+11
Slovenia,SI,SVN,2022,59927702746
Spain,ES,ESP,2022,1.4465E+12
Sweden,SE,SWE,2022,5.79896E+11
Turkiye,TR,TUR,2022,9.07118E+11
United Kingdom,GB,GBR,2022,3.11404E+12
United States,US,USA,2022,2.60069E+13
