country_iso3,source,variable_name,dataset_name,year,constant_2022_USD_billions
ALB,https://www.nato.int/cps/en/natohq/news_216897.htm,Defense Spending,NATO,2022,208723170.73615825
BEL,https://www.nato.int/cps/en/natohq/news_216897.htm,Defense Spending,NATO,2022,7357447529.010432
BGR,https://www.nato.int/cps/en/natohq/news_216897.htm,Defense Spending,NATO,2022,1193726813.349565
CAN,https://www.nato.int/cps/en/natohq/news_216897.htm,Defense Spending,NATO,2022,25650486991.354412
HRV,https://www.nato.int/cps/en/natohq/news_216897.htm,Defense Spending,NATO,2022,1376830599.3879323
CZE,https://www.nato.int/cps/en/natohq/news_216897.htm,Defense Spending,NATO,2022,3485538161.169386
DNK,https://www.nato.int/cps/en/natohq/news_216897.htm,Defense Spending,NATO,2022,5912324898.447202
EST,https://www.nato.int/cps/en/natohq/news_216897.htm,Defense Spending,NATO,2022,739196955.428751
FIN,https://www.nato.int/cps/en/natohq/news_216897.htm,Defense Spending,NATO,2022,5297479488.310501
FRA,https://www.nato.int/cps/en/natohq/news_216897.htm,Defense Spending,NATO,2022,59716547043.99302
DEU,https://www.nato.int/cps/en/natohq/news_216897.htm,Defense Spending,NATO,2022,64938265791.97132
GRC,https://www.nato.int/cps/en/natohq/news_216897.htm,Defense Spending,NATO,2022,9902229747.13555
HUN,https://www.nato.int/cps/en/natohq/news_216897.htm,Defense Spending,NATO,2022,3457204080.9721284
ITA,https://www.nato.int/cps/en/natohq/news_216897.htm,Defense Spending,NATO,2022,35119372386.71306
LVA,https://www.nato.int/cps/en/natohq/news_216897.htm,Defense Spending,NATO,2022,799505420.8090055
LTU,https://www.nato.int/cps/en/natohq/news_216897.htm,Defense Spending,NATO,2022,1546473460.2771704
LUX,https://www.nato.int/cps/en/natohq/news_216897.htm,Defense Spending,NATO,2022,523211493.0291351
MNE,https://www.nato.int/cps/en/natohq/news_216897.htm,Defense Spending,NATO,2022,82310785.4344821
NLD,https://www.nato.int/cps/en/natohq/news_216897.htm,Defense Spending,NATO,2022,17390669838.788834
MKD,https://www.nato.int/cps/en/natohq/news_216897.htm,Defense Spending,NATO,2022,221169280.85652566
NOR,https://www.nato.int/cps/en/natohq/news_216897.htm,Defense Spending,NATO,2022,7875796833.168213
POL,https://www.nato.int/cps/en/natohq/news_216897.htm,Defense Spending,NATO,2022,18207904866.12747
PRT,https://www.nato.int/cps/en/natohq/news_216897.htm,Defense Spending,NATO,2022,3916338907.6806555
ROU,https://www.nato.int/cps/en/natohq/news_216897.htm,Defense Spending,NATO,2022,4829944880.6368
SVK,https://www.nato.int/cps/en/natohq/news_216897.htm,Defense Spending,NATO,2022,2232746722.5205007
SVN,https://www.nato.int/cps/en/natohq/news_216897.htm,Defense Spending,NATO,2022,827130913.3681787
ESP,https://www.nato.int/cps/en/natohq/news_216897.htm,Defense Spending,NATO,2022,16751115984.731325
TUR,https://www.nato.int/cps/en/natohq/news_216897.htm,Defense Spending,NATO,2022,19495200286.472603
GBR,https://www.nato.int/cps/en/natohq/news_216897.htm,Defense Spending,NATO,2022,82369345531.67691
USA,https://www.nato.int/cps/en/natohq/news_216897.htm,Defense Spending,NATO,2022,870091485993.1857
