new_year,country_iso3,constant_2022_USD_billions,variable_name,dataset_name,source
2022,AUS,79109803.353,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,AUS,366993980.6988,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,AUT,676032000,Ukraine Financial Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,AUT,81734290.5582,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,AUT,3587374.3710000003,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,BEL,8513778,Ukraine Financial Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,BEL,68691189,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,BEL,155288655.1818,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,BGR,745747.8,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,BGR,252760199.601,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,CAN,1915353452.5398,Ukraine Financial Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,CAN,382921521.7233,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,CAN,1103444520.6939,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,CHE,102256833.7623,Ukraine Financial Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,CHE,253149094.4031,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,CHN,2052396.1815,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,CYP,3168900,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,CZE,119629203.0528,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,CZE,484791860.5971,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,DEU,1486214100,Ukraine Financial Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,DEU,1622185314.015,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,DEU,118622490,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,DNK,60737250,Ukraine Financial Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,DNK,130703310.7086,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
