type_code,freq_code,ref_period_id,ref_year,ref_month,period,reporter_code,reporter_iso,reporter_desc,flow_code,flow_desc,partner_code,partner_iso,partner_desc,partner2code,partner2iso,partner2desc,classification_code,classification_search_code,is_original_classification,cmd_code,cmd_desc,aggr_level,is_leaf,customs_code,customs_desc,mos_code,mot_code,mot_desc,qty_unit_code,qty_unit_abbr,qty,is_qty_estimated,alt_qty_unit_code,alt_qty_unit_abbr,alt_qty,is_alt_qty_estimated,net_wgt,is_net_wgt_estimated,gross_wgt,is_gross_wgt_estimated,cifvalue,fobvalue,primary_value,legacy_estimation_flag,is_reported,is_aggregate,dataset_name,source
C,A,20140101,2014,52,2014,233,EST,Estonia,M,Import,643,RUS,Russian Federation,0,W00,World,H4,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,292500.0,False,-1,,,False,292500.0,False,,False,164816.0,,164816.0,0,True,False,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20150101,2015,52,2015,100,BGR,Bulgaria,M,Import,643,RUS,Russian Federation,0,W00,World,H4,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,327817114.0,False,-1,,,False,327817114.0,False,,False,100276136.0,,100276136.0,0,True,False,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20150101,2015,52,2015,203,CZE,Czechia,M,Import,643,RUS,Russian Federation,0,W00,World,H4,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,44740.0,False,-1,,,False,44740.0,False,,False,13773.0,,13773.0,0,True,False,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20150101,2015,52,2015,233,EST,Estonia,M,Import,643,RUS,Russian Federation,0,W00,World,H4,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1081700.0,False,-1,,,False,1081700.0,False,,False,271347.0,,271347.0,0,True,False,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20160101,2016,52,2016,203,CZE,Czechia,M,Import,643,RUS,Russian Federation,0,W00,World,H4,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,210000.0,False,-1,,,False,210000.0,False,,False,59527.0,,59527.0,0,True,False,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20160101,2016,52,2016,233,EST,Estonia,M,Import,643,RUS,Russian Federation,0,W00,World,H4,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2190000.0,False,18,TJ,89.6,False,2190000.0,False,,False,620974.384,,620974.384,0,False,True,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20170101,2017,52,2017,203,CZE,Czechia,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,225000.0,False,18,TJ,16.0,False,225000.0,False,,False,91848.0,85326.0,91848.0,0,False,True,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20170101,2017,52,2017,233,EST,Estonia,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2474250.0,False,18,TJ,144.3,False,2474250.0,False,,False,823321.738,,823321.738,0,False,True,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20170101,2017,52,2017,251,FRA,France,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2237976.595,True,-1,,0.0,False,2237976.595,True,,False,746234.406,,746234.406,0,False,True,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20170101,2017,52,2017,842,USA,USA,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,43985828.584,True,-1,,0.0,False,43985828.584,True,0.0,False,14732319.0,0.0,14732319.0,6,True,False,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20180101,2018,52,2018,56,BEL,Belgium,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,531384230.0,False,18,TJ,29016.22,False,531384230.0,False,0.0,False,246493256.068,0.0,246493256.068,0,True,False,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20180101,2018,52,2018,203,CZE,Czechia,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,18000.0,False,18,TJ,1.0,False,18000.0,False,,False,7074.0,6572.0,7074.0,0,False,True,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20180101,2018,52,2018,724,ESP,Spain,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,640853000.0,False,18,TJ,35212.1,False,640853000.0,False,0.0,False,242162859.403,,242162859.403,0,False,True,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20180101,2018,52,2018,233,EST,Estonia,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3979262.4,False,18,TJ,266.6,False,3979262.4,False,0.0,False,1493551.154,0.0,1493551.154,0,False,True,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20180101,2018,52,2018,246,FIN,Finland,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,208000.0,False,18,TJ,16.0,False,208000.0,False,0.0,False,152899.292,,152899.292,0,False,True,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20180101,2018,52,2018,251,FRA,France,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1187206385.131,True,-1,,0.0,False,,True,0.0,False,465426640.999,,465426640.999,6,False,True,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20180101,2018,52,2018,826,GBR,United Kingdom,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,734481500.0,False,18,TJ,40343.0,False,734481500.0,False,0.0,False,339040694.185,,339040694.185,0,False,True,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20180101,2018,52,2018,440,LTU,Lithuania,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,129400.0,False,18,TJ,7.04,False,129400.0,False,,False,111972.0,,111972.0,0,True,False,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20190101,2019,52,2019,56,BEL,Belgium,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1252906100.0,False,18,TJ,68805.85,False,1252906100.0,False,0.0,False,351969587.98,0.0,351969587.98,0,True,False,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
