ref_year,reporter_iso,Coal (value),Gas (value),Oil (value),Coal (weight),Gas (weight),Oil (weight)
2014,EST,,164816,,,292500,
2015,BGR,,100276136,,,327817114,
2015,CZE,,13773,,,44740,
2015,EST,,271347,,,1081700,
2016,CZE,,59527,,,210000,
2016,EST,,620974.384,,,2190000,
2017,CZE,,91848,,,225000,
2017,EST,,823321.738,,,2474250,
2017,FRA,,746234.406,,,2237976.595,
2017,USA,,14732319,,,43985828.58,
2018,BEL,,246493256.1,,,531384230,
2018,CZE,,7074,,,18000,
2018,ESP,,242162859.4,,,640853000,
2018,EST,,1493551.154,,,3979262.4,
2018,FIN,,152899.292,,,208000,
2018,FRA,,465426641,,,,
2018,GBR,,339040694.2,,,734481500,
2018,LTU,,111972,,,129400,
2019,BEL,,351969588,,,1252906100,
2019,CZE,,114834,,,324000,
2019,ESP,,533785774.1,,,2141390000,
2019,EST,,3128793.586,,,9903740,
2019,FIN,,30977686.57,,,91265873.43,
2019,FRA,,1185698469,,,3493282370,
2019,GBR,,332672794.1,,,1190872400,
2019,GRC,,4290479.734,,,13230100,
2019,LTU,,39868649,,,179211420,
2019,PRT,,26452928.51,,,70958000,
2019,SWE,,29850242.12,,,70908000,
2019,USA,,52896557,,,155842834.3,
2020,BEL,,301317979.9,,,1351270000,
2020,ESP,,459713679.3,,,2164580000,
2020,EST,,2225859.3,,,10553400,
2020,FIN,,43902324.95,,,137183730,
2020,FRA,,611261172.7,,,2226614047,
2020,GBR,,540559046.3,,,2380530000,
2020,GRC,,12917161.95,,,68900900,
2020,LTU,,35164762,,,219388500,
2020,NOR,,2871186.939,,,8855030,
2020,PRT,,97095671.93,,,418406200,
2020,SWE,,38957654.09,,,132943000,
2021,BEL,128804865.1,299625185.9,3746615.031,981032520,867400000,5733090
2021,BGR,28784244.76,,1239636782,304903424,,2546529200
2021,CZE,1791412,,1745478093,22008250,,3417360000
2021,DEU,1742172303,,11454509604,13967326178,,24320027058
2021,DNK,,,508334709.4,,,948427000
2021,ESP,139154304,1438244800,1785854223,927901069,2745310800,0
2021,EST,405932.46,23803568.95,,4103500,26663539,
2021,FIN,146406818.6,66749074.18,3409441027,1035188221,142253020,6833502435
2021,FRA,259021062.3,2167756867,1881028654,2169467000,4760325243,3437130000
2021,GBR,190921302,1231702302,1420634987,1617973970,2265324400,2725943000
2021,GRC,25836925.41,,893376501.6,260732700,,1752832400
2021,HRV,61675609,86420363,,475775830,117326200,
2021,HUN,39254830,,1707115390,208895450,,3360435000
2021,ITA,691135042.9,,2637647549,5049960000,,5139670000
2021,LTU,23618465,146607128,2724606700,281045300,219729400,5370699000
2021,LUX,10.432,,,2,,
2021,LVA,964651.276,,,12031725,,
2021,MKD,183292.84,,,1096340,,
2021,NLD,195200392.8,1599098915,10164330435,1889190000,2126070000,20038273000
2021,NOR,8624841.626,38456410.68,26377356.99,40764840,94245503,39469300
2021,POL,641648139,,6570116508,6884611000,,13722995000
2021,PRT,,280939351.4,,,630434100,
2021,ROU,54790154.79,,2715971070,488740200,,5386345800
2021,SVK,98754199.65,,2493990011,886972840,,5180950000
2021,SWE,92742003.63,78872934.44,808617955,644942000,157608000,1581090217
2021,TUR,1344864141,,,13409622900,,
2021,USA,,,4842682345,,,10571261280
2022,BEL,258489070.2,2499253618,4652045.751,794815500,1687970000,5694660
2022,BGR,33048970.83,,3451248731,157887850,,6038997100
2022,CZE,4005283,,2296630222,11376000,,4161550000
2022,DEU,2330793751,,13154088585,8624986552,,22801939100
2022,DNK,,,69999060.45,,,72873000
2022,ESP,294145532.7,4585443827,404798342.6,1095693100,3696430200,699221000
2022,EST,166591.58,25812550.33,,1294650,13680840,
2022,FIN,159076264,103393525,1021689235,581660239,186990810,1660216740
2022,FRA,250967286.1,5721236650,1685128825,777331800,4610402073,2495936100
2022,GBR,252720173.4,520965922.2,500766084.6,1091360895,365856400,816016500
2022,GRC,2885615.455,229137709.1,242617441.3,15979100,133400100,427992500
2022,HRV,103891875,,,284808240,,
2022,HUN,16475214,,2724777238,51603700,,4957773000
2022,ITA,1123241043,199737584.4,7241065092,2921775919,137011000,9602979999
2022,LTU,40344095,80517508,753713000,282325300,50956100,1099627000
2022,LVA,8239932.83,,,38480410,,
2022,MKD,41067.11,,,96000,,
2022,NLD,49859941.35,3321634486,10577157089,175825000,2915910000,16085810000
2022,NOR,3710578.257,23423310.24,,12091730,32260522,
2022,POL,311351300,,6649647812,2079451400,,11720543000
2022,PRT,,137104498,,,210835700,
2022,ROU,81564035.36,,2994305638,228994040,,4466729060
2022,SVK,40607193.72,,2830162103,220400600,,5194936000
2022,SWE,15617369.06,34915682.75,203770193,75561000,64314000,342328000
2022,TUR,3637446938,,,18608743800,,
2022,USA,,29941213,521646568,,24127830.91,789388095
2023,BGR,,,2691359065,,,5540064600
2023,CZE,,,2047901382,,,4223352000
2023,DEU,91452900.82,,43858391.81,241845100,,115395000
2023,HUN,,,2222817598,,,4728309000
2023,MKD,26918.34,,,72000,,
2023,NLD,,,501207388.4,,,914008300
2023,POL,,,389993296,,,1149848000
2023,SVK,,,2100894435,,,4574412000
2023,TUR,3303699112,,,27184292050,,
2023,USA,,,759645,,,1567740
