type_code,freq_code,ref_period_id,ref_year,ref_month,period,reporter_code,reporter_iso,reporter_desc,flow_code,flow_desc,partner_code,partner_iso,partner_desc,partner2code,partner2iso,partner2desc,classification_code,classification_search_code,is_original_classification,cmd_code,cmd_desc,aggr_level,is_leaf,customs_code,customs_desc,mos_code,mot_code,mot_desc,qty_unit_code,qty_unit_abbr,qty,is_qty_estimated,alt_qty_unit_code,alt_qty_unit_abbr,alt_qty,is_alt_qty_estimated,net_wgt,is_net_wgt_estimated,gross_wgt,is_gross_wgt_estimated,cifvalue,fobvalue,primary_value,legacy_estimation_flag,is_reported,is_aggregate,dataset_name,source
C,A,20140101,2014,52,2014,233,EST,Estonia,M,Import,643,RUS,Russian Federation,0,W00,World,H4,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,292500,FALSE,-1,,,FALSE,292500,FALSE,,FALSE,164816,,164816,0,TRUE,FALSE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20150101,2015,52,2015,100,BGR,Bulgaria,M,Import,643,RUS,Russian Federation,0,W00,World,H4,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,327817114,FALSE,-1,,,FALSE,327817114,FALSE,,FALSE,100276136,,100276136,0,TRUE,FALSE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20150101,2015,52,2015,203,CZE,Czechia,M,Import,643,RUS,Russian Federation,0,W00,World,H4,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,44740,FALSE,-1,,,FALSE,44740,FALSE,,FALSE,13773,,13773,0,TRUE,FALSE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20150101,2015,52,2015,233,EST,Estonia,M,Import,643,RUS,Russian Federation,0,W00,World,H4,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1081700,FALSE,-1,,,FALSE,1081700,FALSE,,FALSE,271347,,271347,0,TRUE,FALSE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20160101,2016,52,2016,203,CZE,Czechia,M,Import,643,RUS,Russian Federation,0,W00,World,H4,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,210000,FALSE,-1,,,FALSE,210000,FALSE,,FALSE,59527,,59527,0,TRUE,FALSE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20160101,2016,52,2016,233,EST,Estonia,M,Import,643,RUS,Russian Federation,0,W00,World,H4,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2190000,FALSE,18,TJ,89.6,FALSE,2190000,FALSE,,FALSE,620974.384,,620974.384,0,FALSE,TRUE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20170101,2017,52,2017,203,CZE,Czechia,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,225000,FALSE,18,TJ,16,FALSE,225000,FALSE,,FALSE,91848,85326,91848,0,FALSE,TRUE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20170101,2017,52,2017,233,EST,Estonia,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2474250,FALSE,18,TJ,144.3,FALSE,2474250,FALSE,,FALSE,823321.738,,823321.738,0,FALSE,TRUE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20170101,2017,52,2017,251,FRA,France,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2237976.595,TRUE,-1,,0,FALSE,2237976.595,TRUE,,FALSE,746234.406,,746234.406,0,FALSE,TRUE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20170101,2017,52,2017,842,USA,USA,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,43985828.58,TRUE,-1,,0,FALSE,43985828.58,TRUE,0,FALSE,14732319,0,14732319,6,TRUE,FALSE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
