Smry_Ctgry,State,Srvc_Ctgry,Prvdr_ID,Prvdr_Name,Prvdr_City,Prvdr_ZIP,Bene_Dstnct_Cnt,Tot_Epsd_Stay_Cnt,Tot_Srvc_Days,Bene_LE_7_Srvc_Days_Pct,Bene_LE_30_Srvc_Days_Pct,Bene_GE_60_Srvc_Days_Pct,Bene_GE_180_Srvc_Days_Pct,Tot_Chrg_Amt,Tot_Mdcr_Stdzd_Pymt_Amt,Tot_Mdcr_Pymt_Amt,Tot_Outlier_Pymt_Amt,Tot_Alowd_Amt,Tot_Coinsrnc_Amt,Bene_MA_Pct,Bene_Dual_Pct,Bene_Rrl_Pct,Bene_Avg_Age,Bene_Male_Pct,Bene_Feml_Pct,Bene_Race_Wht_Pct,Bene_Race_Black_Pct,Bene_Race_API_Pct,Bene_Race_Hspnc_Pct,Bene_Race_Natind_Pct,Bene_Race_Othr_Pct,Bene_Avg_Risk_Scre,Bene_Avg_CC_Cnt,Bene_CC_AF_Pct,Bene_CC_Alzhmr_Pct,Bene_CC_Asthma_Pct,Bene_CC_Cncr_Pct,Bene_CC_CHF_Pct,Bene_CC_CKD_Pct,Bene_CC_COPD_Pct,Bene_CC_Dprssn_Pct,Bene_CC_Dbts_Pct,Bene_CC_Hyplpdma_Pct,Bene_CC_Hyprtnsn_Pct,Bene_CC_IHD_Pct,Bene_CC_Opo_Pct,Bene_CC_RAOA_Pct,Bene_CC_Sz_Pct,Bene_CC_Strok_Pct,Bene_Prmry_Dx_Cncr_Pct,Bene_Prmry_Dx_COPD_Pct,Bene_Prmry_Dx_Rsprtryfailr_Pct,Bene_Prmry_Dx_Dmnt_Pct,Bene_Prmry_Dx_Strok_Pct,Bene_Prmry_Dx_CHF_Pct,Bene_Prmry_Dx_Hyprtnsn_Pct,Bene_Prmry_Dx_Othrcrdvsclr_Pct,Bene_Prmry_Dx_Infctn_Pct,Bene_Prmry_Dx_Ortho_Pct,Bene_Prmry_Dx_Injury_Pct,Bene_Prmry_Dx_Mtr_Nrl_Pct,Bene_Prmry_Dx_Dbts_Pct,Bene_Prmry_Dx_Skn_Pct,Bene_Prmry_Dx_Aftrcre_Pct,Nrsng_Visits_Cnt,PT_Visits_Cnt,OT_Visits_Cnt,SLP_Visits_Cnt,MSW_Visits_Cnt,Aide_Visits_Cnt,Physn_Visits_Cnt,Tot_Nrsng_Mnts,Tot_PT_Mnts,Tot_OT_Mnts,Tot_SLP_Mnts,Tot_MSW_Mnts,Tot_Aide_Mnts,Nrsng_Mnts_Avg_7_Day_Prior_Death,MSW_Mnts_Avg_7_Day_Prior_Death,Aide_Mnts_Avg_7_Day_Prior_Death,Tot_Asmt_Cnt,Asmt_10_Mnts_RV_Thrshld_Pct,Asmt_10_Mnts_RU_Thrshld_Pct,Srvc_Site_Days_Home_Pct,Srvc_Site_Days_Astd_Lvg_Fac_Pct,Srvc_Site_Days_LTCF_Pct,Srvc_Site_Days_SNF_Pct,Srvc_Site_Days_IP_Pct,Srvc_Site_Days_IP_Hospc_Pct,Dschrg_Cmnty_Slfcr_Pct,Dschrg_IP_Pct,Dschrg_HH_Pct,Dschrg_SNF_Pct,Dschrg_IRF_Pct,Dschrg_Hospc_Pct,Dschrg_Death_Pct,Dschrg_Unk_Pct,Dschrg_Hospc_Lv_Pct,Hospc_RHC_Days_Pct,Tot_HH_LUPA_Epsds_Cnt,HHRG_Low_Thrpy_Erly_Epsd_Day_Pct,HHRG_Mdm_Thrpy_Erly_Epsd_Day_Pct,HHRG_Low_Thrpy_Lte_Epsd_Day_Pct,HHRG_Mdm_Thrpy_Lte_Epsd_Day_Pct,HHRG_High_Thrpy_Epsd_Day_Pct,RUG_AAA_Days_Pct,RUG_Rehab_Days_Pct,RUG_Very_High_Rehab_Days_Pct,RUG_Ultra_High_Rehab_Days_Pct,RUG_Clncl_Cmplx_Days_Pct,RUG_Rdcd_Phys_Fnctng_Days_Pct,RUG_Spcl_High_Care_Days_Pct,RUG_Bhvrl_Smptm_Days_Pct,RUG_Extnsv_Srvc_Days_Pct,CMG_Strok_Days_Pct,CMG_Injury_Trma_Days_Pct,CMG_Ortho_Days_Pct,CMG_Arthrts_Days_Pct,CMG_Crdvsclr_Plmnry_Days_Pct,CMG_Nrlgcl_Days_Pct,CMG_Othr_Days_Pct
NATION,NATIONAL TOTAL,HH,NATION,NATIONAL TOTAL,NATIONAL TOTAL,NATIONAL TOTAL,3416037,6558889,294505866,0.05,0.32,0.35,0.11,18560900554,18479706674,17730137489,316425996.4,NA,NA,0.01,0.25,0.2,77,0.38,0.62,0.76,0.13,0.02,0.08,0,0.01,2.1,5.8,0.2,0.31,0.13,0.14,0.41,0.43,0.31,0.38,0.45,0.64,0.89,0.55,0.15,0.59,0.09,0.12,0.03,0.04,0,0.02,0.04,0.06,0.05,0.07,0.06,0.1,0.1,0.05,0.06,0.03,0.28,55265897,31113357,7758865,1571251,841131,13030676,NA,2478518760,1446093510,366700845,76165425,47380485,797166780,NA,NA,NA,NA,NA,NA,0.93,0.07,NA,NA,NA,NA,0.44,0.03,NA,NA,NA,0.01,0.01,0.03,NA,NA,570050,0.5,0.1,0.31,0.02,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NATION,NATIONAL TOTAL,HOS,NATION,NATIONAL TOTAL,NATIONAL TOTAL,NATIONAL TOTAL,1323223,1415119,91971057,0.27,0.49,0.33,0.13,27291336265,15243373201,15066893241,NA,NA,NA,0.29,0.25,0.19,82,0.41,0.59,0.84,0.08,0.01,0.06,0,0.01,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,0.07,0.02,0.2,0.08,0.1,0,0.08,0.02,0,0,0.05,0,0,0,24891737,NA,NA,NA,5146310,29246121,1477898,1758748395,NA,NA,NA,253125735,1977303285,73.3,5.9,23.3,NA,NA,NA,0.56,0.16,0.18,0.07,0.01,0.01,NA,NA,NA,NA,NA,NA,0.68,NA,0.12,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NATION,NATIONAL TOTAL,IRF,NATION,NATIONAL TOTAL,NATIONAL TOTAL,NATIONAL TOTAL,347349,385135,4900209,0.15,0.95,NA,NA,15533001054,6965559094,7056848174,244581446.5,7177408330,50188496,0.01,0.17,0.18,76,0.43,0.57,0.81,0.11,0.02,0.06,0,0.01,2,6.5,0.27,0.28,0.13,0.16,0.44,0.49,0.32,0.44,0.47,0.75,0.93,0.6,0.2,0.62,0.1,0.31,0,0,0,0,0.01,0,0,0,0,0.02,0.02,0.01,0,0,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,371163,NA,NA,NA,NA,NA,NA,NA,NA,0.22,0.09,0.47,0.17,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,0.17,0.26,0.01,0.06,0.12,0.15
NATION,NATIONAL TOTAL,LTC,NATION,NATIONAL TOTAL,NATIONAL TOTAL,NATIONAL TOTAL,121364,137556,3637785,0.07,0.65,0.07,NA,19426978525,5296411306,5165000880,486870761.3,5516501355,335461247,0.01,0.4,0.2,71,0.51,0.49,0.67,0.2,0.02,0.1,0.01,0.01,3.6,7.3,0.29,0.37,0.17,0.14,0.68,0.74,0.54,0.5,0.64,0.64,0.93,0.68,0.12,0.5,0.17,0.2,0.01,0.02,0.29,0,0.01,0.02,0.01,0.03,0.2,0.05,0.13,0.01,0.04,0.06,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.09,0.19,0.34,0.06,0.03,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NATION,NATIONAL TOTAL,SNF,NATION,NATIONAL TOTAL,NATIONAL TOTAL,NATIONAL TOTAL,1778725,2503681,66985024,0.11,0.55,0.18,NA,44806909966,27900876973,27122439056,NA,32867107202,5744668146,0.02,0.32,0.21,79,0.38,0.62,0.82,0.1,0.02,0.05,0,0.01,2.3,6.6,0.26,0.46,0.12,0.16,0.5,0.54,0.36,0.47,0.46,0.65,0.91,0.59,0.19,0.58,0.16,0.17,0.02,0.02,0.01,0.02,0.04,0.03,0.01,0.05,0.1,0.09,0.09,0.03,0.01,0,0.43,NA,NA,NA,NA,NA,NA,NA,NA,828712807,763711142,211313120,NA,NA,NA,NA,NA,3075167,0.54,0.69,NA,NA,NA,NA,NA,NA,0.35,0.19,0.07,NA,NA,0,0.03,0.12,NA,NA,NA,NA,NA,NA,NA,NA,0,0.12,0.24,0.57,0.02,0.01,0.04,0,0.01,NA,NA,NA,NA,NA,NA,NA
STATE,AK,HH,STATE,STATE TOTAL,STATE TOTAL,STATE TOTAL,2083,3062,116672,0.04,0.42,0.2,0.06,10304674.3,8064692.67,9438426.89,47658.51,NA,NA,0,0.38,0.4,76,0.38,0.62,0.79,0.03,0.04,0.02,0.1,0.01,2,5.1,0.2,0.3,0.11,0.15,0.34,0.43,0.28,0.34,0.4,0.47,0.8,0.4,0.14,0.53,0.07,0.1,0.04,0.02,0,0.01,0.04,0.03,0.02,0.04,0.06,0.04,0.07,0.03,0.04,0.05,0.42,17908,13858,3366,919,1010,3600,NA,964560,786015,191955,52770,56760,208950,NA,NA,NA,NA,NA,NA,0.92,0.07,NA,NA,NA,NA,0.55,0.04,NA,NA,NA,0.02,0.02,0.03,NA,NA,419,0.59,0.08,0.22,0.01,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STATE,AK,HOS,STATE,STATE TOTAL,STATE TOTAL,STATE TOTAL,731,753,34955,0.24,0.53,0.23,0.07,15139908.6,5448210.94,6225977.81,NA,NA,NA,0.01,0.35,0.27,80,0.39,0.61,0.79,0.02,0.05,0.02,0.1,0.02,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,0.06,0.01,0.22,0.06,0.12,0,0.03,0.01,0,0,0.03,0,0,0,6792,NA,NA,NA,1913,3520,227,330450,NA,NA,NA,63195,161520,28,3.5,6.6,NA,NA,NA,0.68,0.29,0.02,0,0.01,0,NA,NA,NA,NA,NA,NA,0.73,NA,0.11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STATE,AK,IRF,STATE,STATE TOTAL,STATE TOTAL,STATE TOTAL,168,173,2187,0.11,0.97,NA,NA,11873663.26,3346231.18,3905520.36,409197.34,3969664.36,36176,NA,0.28,0.37,74,0.58,0.42,0.68,0.01,0.04,0.04,0.21,0.02,1.5,5.5,0.21,0.15,0.1,0.13,0.3,0.42,0.24,0.36,0.38,0.73,0.9,0.4,0.14,0.55,0.03,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,NA,NA,NA,0.49,0.08,0.39,0.03,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,0.25,0.14,0,0.03,0.02,0.12
STATE,AK,LTC,STATE,STATE TOTAL,STATE TOTAL,STATE TOTAL,156,161,5796,0.07,0.47,0.13,NA,35514603.66,9592122.91,12217805.74,5505103.11,12882989.74,628736,NA,0.52,0.39,69,0.6,0.4,0.74,0.03,0.04,0.04,0.15,0.01,3.1,6.1,0.26,0.17,0.12,0.13,0.56,0.74,0.38,0.44,0.62,0.53,0.87,0.57,0.15,0.44,0.06,0.1,0,0,0.26,0,0,0,0,0.04,0.12,0.06,0.19,0,0.1,0.02,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,0.15,0.14,0.24,0.05,0.02,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STATE,AK,SNF,STATE,STATE TOTAL,STATE TOTAL,STATE TOTAL,623,740,21016,0.13,0.52,0.14,NA,30166609.05,6561175.99,7899492.09,NA,9652348.09,1752856,NA,0.42,0.42,77,0.43,0.57,0.81,0.04,0.03,0.02,0.09,0.01,2.1,5.9,0.29,0.35,0.11,0.14,0.42,0.51,0.33,0.41,0.46,0.58,0.87,0.48,0.23,0.52,0.07,0.17,0.03,0.01,0.02,0.01,0.04,0.01,0,0.03,0.03,0.06,0.12,0.01,0,0.02,0.57,NA,NA,NA,NA,NA,NA,NA,NA,189350,137357,30470,NA,NA,NA,NA,NA,862,0.17,0.27,NA,NA,NA,NA,NA,NA,0.38,0.13,0.06,NA,NA,0.01,0.06,0.17,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.36,0.22,0.13,0.11,0.04,0.12,0,0.01,NA,NA,NA,NA,NA,NA,NA
