CAEMP25S Total full-time and part-time employment by SIC industry 1
CAEMP25S Total full-time and part-time employment by SIC industry 1
Metropolitan Statistical Area
GeoFips,GeoName,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
10180,"Abilene, TX (Metropolitan Statistical Area)",1534,1485,1463,1486,1477,1542,1684,1679,1625,1591,1620
10420,"Akron, OH (Metropolitan Statistical Area)",2399,2328,2328,2317,2665,2923,3147,3187,3050,2992,3148
10500,"Albany, GA (Metropolitan Statistical Area)",3668,3459,3383,3114,3248,3123,3083,3183,2986,2836,2991
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",552,513,503,483,451,430,405,336,340,335,370
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",10278,9109,8786,8579,8455,8123,8517,8363,8104,7869,7930
10740,"Albuquerque, NM (Metropolitan Statistical Area) *",14464,14320,14716,14800,14808,14312,14177,13964,14044,13666,13973
10780,"Alexandria, LA (Metropolitan Statistical Area)",3006,2862,2580,2380,2335,2316,2329,2267,2271,2245,2391
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",2642,2724,2863,2981,3170,3144,3205,3078,3133,3133,3356
11020,"Altoona, PA (Metropolitan Statistical Area)",953,945,944,937,955,915,965,948,965,961,1039
11100,"Amarillo, TX (Metropolitan Statistical Area)",2067,2104,2166,2150,2111,2062,2110,2059,2116,2117,2171
11180,"Ames, IA (Metropolitan Statistical Area)",1013,1023,1046,1064,1093,1061,1064,1076,1085,1103,1186
11260,"Anchorage, AK (Metropolitan Statistical Area)",10601,10630,11179,11738,11028,10276,10403,9965,10068,9821,10052
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",2906,2837,2897,2839,2841,2804,2824,2743,2722,2694,2832
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",6854,6654,6412,5734,5325,4864,4436,4958,4947,4395,3742
11540,"Appleton, WI (Metropolitan Statistical Area)",474,379,440,395,426,425,503,478,479,491,540
11700,"Asheville, NC (Metropolitan Statistical Area)",3004,2882,2963,2998,2994,2890,3061,3033,3082,2917,3159
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",2097,1878,1797,1735,1674,1661,1727,1677,1698,1687,1814
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",46821,47254,47898,47842,48286,46439,45558,44788,45422,45290,47539
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",2657,2619,2779,2725,2648,2513,2513,2490,2490,2494,2570
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",341,330,336,322,322,321,336,335,331,344,417
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",8485,8281,8083,7613,7406,7251,7457,7322,7417,7371,7547
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",13281,12165,11659,11174,10920,10838,10467,9909,10008,10034,10382
12540,"Bakersfield, CA (Metropolitan Statistical Area)",12428,11905,12105,11460,11579,11728,11004,10854,10797,10635,10155
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",77156,75128,74056,73002,72099,70529,71235,71733,71087,69890,71029
12620,"Bangor, ME (Metropolitan Statistical Area)",1414,1234,1228,1184,1220,1229,1227,1337,1411,1416,1856
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",1743,1629,1620,1645,1637,1807,1785,1816,1856,1834,1978
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",3324,3235,3240,2916,2884,2728,2899,2989,3045,2995,3195
