CAEMP25N Total full-time and part-time employment by NAICS industry 1
CAEMP25N Total full-time and part-time employment by NAICS industry 1
Metropolitan Statistical Area
GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
10180,"Abilene, TX (Metropolitan Statistical Area)",1333,1362,1213,1124,1183,1406,1377,1351,1361,1474,1337,1276,1202,1134,1187,1250,1273,1276
10420,"Akron, OH (Metropolitan Statistical Area)",3046,3223,3134,2867,2652,2315,2280,2297,2254,2517,2288,2256,2255,2304,2121,2046,2142,2232
10500,"Albany, GA (Metropolitan Statistical Area)",2670,2578,2529,2604,2920,3059,3081,3197,3408,3623,3390,3230,3075,2921,2765,2682,2633,2623
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",319,338,422,417,394,389,381,372,373,346,329,316,307,318,313,321,314,309
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",7512,7716,7676,7016,7005,6922,6916,6922,7026,7241,6869,6657,6517,6429,6425,6491,6562,6683
10740,"Albuquerque, NM (Metropolitan Statistical Area)",13438,14028,14017,14062,14219,14561,14507,14670,15240,15893,15738,15234,14639,14304,14318,14484,14526,14365
10780,"Alexandria, LA (Metropolitan Statistical Area)",2496,2630,2663,2810,2751,2798,2831,2881,3010,2981,2970,2998,2994,2998,3026,2940,2871,2825
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",2665,2699,2731,2633,2607,2553,2591,2539,2493,2676,2347,2291,2229,2241,2223,2241,2279,2269
11020,"Altoona, PA (Metropolitan Statistical Area)",933,951,994,1011,1000,966,976,1018,1028,1083,1019,987,961,983,998,1010,1055,1114
11100,"Amarillo, TX (Metropolitan Statistical Area)",2039,2074,2147,2078,2112,2167,2225,2293,2393,2330,2173,2124,2105,2117,2179,2203,2223,2246
11180,"Ames, IA (Metropolitan Statistical Area)",1119,1213,1224,1260,1303,1293,1255,1250,1236,1443,1231,1180,1129,1099,1069,1073,1070,1030
11260,"Anchorage, AK (Metropolitan Statistical Area)",9610,9775,9938,9905,9760,9574,9536,9675,9791,10078,9755,9356,8949,8678,8687,8835,8727,8553
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",2700,2707,2851,2948,2928,2913,2920,2914,3270,3738,3690,3812,3870,3942,4072,4143,4135,4035
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",3631,4059,4085,4471,4973,5329,5591,5514,5540,5518,5204,4578,3968,3919,3743,3699,3615,3746
11540,"Appleton, WI (Metropolitan Statistical Area)",472,491,541,536,546,546,547,700,698,729,693,700,681,669,662,676,688,689
11700,"Asheville, NC (Metropolitan Statistical Area)",2921,3081,3148,3120,3115,3016,3019,3141,3395,3973,3792,3802,3585,3355,3304,3291,3375,3512
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",1682,1765,1694,1657,1682,1631,1656,1686,1612,1708,1461,1377,1312,1237,1128,1091,1075,1069
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",46491,47766,46984,46141,46210,45633,45847,46883,48089,49811,46935,45545,45234,44929,45290,46568,47218,46855
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",2495,2835,2907,2857,2794,2723,2655,2587,2700,2964,2794,2729,2647,2607,2629,2622,2622,2557
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",339,347,346,351,350,338,315,312,315,310,306,297,296,285,288,298,298,300
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",7252,7328,7240,7222,7349,7456,7494,7674,8392,9038,8946,9084,8890,8833,9018,9206,9212,9195
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",9894,10639,10570,10351,10215,10427,11163,11421,11859,12627,11800,11871,11934,11890,12014,12602,12995,13317
12540,"Bakersfield, CA (Metropolitan Statistical Area)",9881,9577,9788,9593,9355,9412,9605,9864,10346,10947,10735,10485,10092,9719,9991,10327,10555,10688
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",69646,72618,72605,71805,71824,71591,71306,71574,73273,77142,80503,82043,80946,79785,79856,80238,79873,79367
12620,"Bangor, ME (Metropolitan Statistical Area)",1413,1404,1403,1397,1371,1337,1315,1308,1385,1416,1299,1245,1222,1172,1180,1185,1168,1152
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",1787,1689,1850,1845,1824,1788,1905,1809,1765,1918,1708,1725,1703,1683,1684,1665,1644,1610
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",2792,2828,2795,2739,2814,3842,3808,3681,3446,3422,3040,2935,2861,2784,2861,2935,3003,2921
12980,"Battle Creek, MI (Metropolitan Statistical Area)",3335,3463,3379,3373,3326,3274,3222,3137,3068,3025,2889,2977,2955,2905,2968,3100,3061,3022
13020,"Bay City, MI (Metropolitan Statistical Area)",301,299,288,284,281,283,277,279,282,290,259,249,243,245,246,250,252,254
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",2803,3211,3402,3283,3151,3212,2801,2156,2132,2344,2186,2126,2106,2035,2017,1996,1991,1954
13220,"Beckley, WV (Metropolitan Statistical Area)",1868,1956,1934,1935,1921,1937,1990,2042,2097,2227,2132,2103,2093,2066,2009,1992,1969,1881
13380,"Bellingham, WA (Metropolitan Statistical Area)",845,938,1079,1137,1165,1134,1117,1183,1309,1452,1404,1398,1369,1375,1389,1396,1395,1448
13460,"Bend, OR (Metropolitan Statistical Area)",824,865,888,896,882,845,834,861,916,1021,899,880,867,871,883,912,921,954
13740,"Billings, MT (Metropolitan Statistical Area)",1863,1968,2021,1964,1977,1972,1936,1956,2012,2026,1926,1880,1825,1807,1845,1898,1911,1911
13780,"Binghamton, NY (Metropolitan Statistical Area)",1001,1041,1043,978,944,902,892,876,851,874,762,729,684,678,671,695,683,680
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",8900,8891,8832,8906,8994,8959,8739,8883,8726,9552,8903,8558,8448,8552,8852,8940,8938,8833
13900,"Bismarck, ND (Metropolitan Statistical Area)",1127,1160,1171,1199,1210,1203,1228,1226,1243,1294,1237,1212,1171,1157,1202,1242,1238,1235
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",482,507,491,485,473,481,472,479,481,548,461,446,429,416,404,400,398,386
14010,"Bloomington, IL (Metropolitan Statistical Area)",1171,988,1002,832,867,845,794,767,728,718,712,627,525,490,461,451,455,437
14020,"Bloomington, IN (Metropolitan Statistical Area)",455,460,447,435,463,473,425,427,433,442,372,347,318,316,337,343,361,358
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",209,214,217,216,209,210,207,205,213,230,191,185,181,178,181,184,188,189
14260,"Boise City, ID (Metropolitan Statistical Area)",5327,5648,5764,5754,5794,5704,5870,6149,6330,6237,5914,5984,6010,5960,6111,6233,6444,6541
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",40930,41354,41021,39807,38831,38203,38089,38409,38671,40092,37826,36908,35851,35428,35580,35921,36059,35715
14500,"Boulder, CO (Metropolitan Statistical Area) *",2582,2551,2536,2459,2365,2300,2259,2280,2298,2325,2141,2055,1990,1977,1994,2066,2076,2023
14540,"Bowling Green, KY (Metropolitan Statistical Area)",1042,1096,1085,782,739,719,739,743,759,863,758,721,675,646,647,656,664,646
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",13896,14876,14881,14846,14794,15039,14776,14965,15563,16071,16368,16504,16524,17016,18667,19273,19364,19785
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",4123,4074,3937,3824,3721,3624,3408,3359,3329,3469,2981,2898,2820,2807,2763,2793,2861,2847
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",2241,2283,2386,2417,2352,2342,2424,2532,2728,3050,3031,3124,3165,3223,3281,3296,3391,3452
15260,"Brunswick, GA (Metropolitan Statistical Area)",1287,1436,1649,1750,1672,1772,1886,1939,1958,1976,1864,1767,1710,1720,1794,1850,1920,1993
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",10202,10560,10577,10631,10429,10061,9943,10088,10188,10548,9973,9784,9471,9185,9167,9288,9437,9463
15500,"Burlington, NC (Metropolitan Statistical Area)",265,262,262,260,261,259,261,269,258,266,231,225,215,216,224,233,243,252
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",2592,2853,3181,3186,3051,2942,2936,3192,3434,3508,3448,3534,3740,3783,3837,3889,3970,4049
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",6404,6918,6935,6978,6862,6986,6995,7249,7692,8382,8678,8808,9000,8973,9514,9622,9626,9999
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",1315,1294,1231,1190,1177,1170,1173,1183,1167,1300,1134,1106,1026,972,983,1009,1036,1031
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",1905,1996,2247,2267,2305,2332,2424,2477,2484,2844,2421,2415,2407,2525,2562,2517,2409,2410
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",482,503,502,484,479,476,485,481,490,534,486,466,437,434,420,452,421,416
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",1671,1691,1654,1733,1773,1822,1773,1820,1907,2046,2016,1962,1926,1910,1946,1893,1877,1876
16180,"Carson City, NV (Metropolitan Statistical Area)",539,573,570,558,560,558,547,567,592,593,546,525,543,516,528,518,634,553
16220,"Casper, WY (Metropolitan Statistical Area)",640,672,708,718,695,658,658,655,683,767,695,684,658,638,638,643,656,639
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",1282,1326,1299,1264,1262,1269,1262,1267,1289,1296,1185,1168,1177,1132,1139,1167,1176,1172
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",1753,1775,1767,1802,1947,2024,2058,2196,2380,2557,2592,2576,2453,2270,2204,2193,2223,2294
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",1406,1432,1405,1363,1339,1308,1298,1301,1308,1430,1287,1274,1268,1268,1316,1301,1290,1291
16620,"Charleston, WV (Metropolitan Statistical Area)",2595,2765,2766,2684,2674,2605,2695,2600,2480,2349,2227,2233,2263,2284,2282,2332,2386,2353
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",7864,8057,8070,8194,8166,8299,8261,8395,8606,9654,9937,10176,10288,10113,10471,10794,10881,11133
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",8436,8720,8833,8766,9048,9276,9416,9783,9955,10469,9586,9492,9585,9775,10203,10485,10730,10783
16820,"Charlottesville, VA (Metropolitan Statistical Area) *",1381,1489,1493,1447,1456,1470,1455,1446,1458,1485,1368,1364,1347,1330,1379,1388,1406,1436
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",6589,6922,6785,6743,6441,6380,6498,6139,5886,6283,6294,6427,6398,5976,5604,5506,5439,5480
16940,"Cheyenne, WY (Metropolitan Statistical Area)",2392,2475,2602,2620,2568,2489,2514,2585,2693,2683,2663,2583,2589,2566,2641,2719,2773,2801
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",63124,63740,63619,61797,60750,59540,58937,58707,58638,61516,56740,55218,54465,53946,53975,54311,54392,53937
17020,"Chico, CA (Metropolitan Statistical Area)",539,552,560,555,559,542,535,541,571,664,577,569,561,542,543,556,564,562
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",17377,18433,17896,17699,17636,17695,17401,17066,17108,17879,16892,16468,16046,15894,15494,15353,15345,15065
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",5321,5783,5213,5113,5324,5447,5569,5716,6233,6647,6799,6801,6528,6256,6186,6106,6052,5492
17420,"Cleveland, TN (Metropolitan Statistical Area)",338,365,364,355,340,334,317,307,308,324,291,276,266,274,279,286,283,279
17460,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",18558,18653,18660,18484,18176,18116,18561,18948,19034,20079,18908,18243,17920,17751,18088,18399,18548,18660
17660,"Coeur d'Alene, ID (Metropolitan Statistical Area)",676,681,648,625,631,608,602,570,594,635,575,572,551,560,595,620,634,662
17780,"College Station-Bryan, TX (Metropolitan Statistical Area)",1076,1115,1113,1085,1051,1035,993,982,1000,1194,910,872,844,816,820,820,832,831
17820,"Colorado Springs, CO (Metropolitan Statistical Area)",10100,10335,10373,10341,10681,10914,11155,11414,12125,12909,13422,13491,13118,12629,12675,12686,12180,12119
17860,"Columbia, MO (Metropolitan Statistical Area)",1993,2077,2067,2143,2140,2075,2115,2191,2243,2350,2291,2427,2572,2552,2599,2593,2616,2665
17900,"Columbia, SC (Metropolitan Statistical Area)",8403,8753,8731,8854,8820,9035,9356,9755,10302,10863,10445,10343,10081,9936,10235,10276,10365,10412
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",5519,5534,5036,4953,5136,5319,5342,5592,6003,6563,6907,7214,7059,6950,6992,6937,6757,6712
18020,"Columbus, IN (Metropolitan Statistical Area)",228,255,228,220,222,217,218,214,208,254,185,170,158,161,168,168,174,170
