CAEMP25S Total Full-Time and Part-Time Employment by SIC Industry 1/,,,,,,,,,,,,,,
(Number of jobs) ,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
998,United States (Metropolitan Portion),,Employment by place of work,,,,,,,,,,,
998,United States (Metropolitan Portion),10,Total employment (number of jobs),118697766,117923088,118241772,120377066,123222447,126421592,129265304,132366465,136021698,138869846,142396424
998,United States (Metropolitan Portion),920,        Military,2391389,2329120,2309249,2198648,2092820,2027819,1948195,1893213,1849052,1828395,1826595
10180,"Abilene, TX (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
10180,"Abilene, TX (Metropolitan Statistical Area)",10,Total employment (number of jobs),80942,82259,82277,84362,85682,88181,89587,91934,92577,91417,91027
10180,"Abilene, TX (Metropolitan Statistical Area)",920,        Military,5715,5665,5299,5491,5483,5354,5186,5081,5058,5015,5037
10420,"Akron, OH (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
10420,"Akron, OH (Metropolitan Statistical Area)",10,Total employment (number of jobs),337124,337813,341070,350680,364299,374193,380965,387561,385717,393612,397340
10420,"Akron, OH (Metropolitan Statistical Area)",920,        Military,2480,2468,2440,2241,2064,1983,1891,1881,1814,1795,1858
10500,"Albany, GA (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
10500,"Albany, GA (Metropolitan Statistical Area)",10,Total employment (number of jobs),71183,70695,70547,72265,75195,77353,79382,79818,79360,78769,79557
10500,"Albany, GA (Metropolitan Statistical Area)",920,        Military,1835,1819,1804,1733,1710,1681,1618,1402,1301,1273,1230
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",10,Total employment (number of jobs),44792,44656,44762,46076,48997,51874,54263,55265,54813,53186,52649
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",920,        Military,443,443,428,407,380,371,366,367,343,338,340
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",10,Total employment (number of jobs),477904,474065,476931,483377,491282,484903,482555,487706,500443,512344,524195
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",920,        Military,4935,4637,4422,4217,3878,3694,3344,3212,3360,3291,3411
10740,"Albuquerque, NM (Metropolitan Statistical Area) *",,Employment by place of work,,,,,,,,,,,
10740,"Albuquerque, NM (Metropolitan Statistical Area) *",10,Total employment (number of jobs),341067,348198,355488,370109,389822,411302,418022,425091,431253,433808,446700
10740,"Albuquerque, NM (Metropolitan Statistical Area) *",920,        Military,8148,8111,8062,7711,7600,7666,7463,7215,6919,6678,6495
10780,"Alexandria, LA (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
10780,"Alexandria, LA (Metropolitan Statistical Area)",10,Total employment (number of jobs),65706,65863,64337,65441,66500,69293,69670,70362,72287,74507,75003
10780,"Alexandria, LA (Metropolitan Statistical Area)",920,        Military,3962,3908,2346,954,869,851,825,806,795,797,745
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",10,Total employment (number of jobs),349846,345339,345658,347081,351274,355394,357386,365995,369703,377848,388803
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",920,        Military,2969,3033,3048,2934,2789,2613,2480,2400,2356,2354,2260
11020,"Altoona, PA (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
11020,"Altoona, PA (Metropolitan Statistical Area)",10,Total employment (number of jobs),64824,63975,65472,67208,68011,69263,70018,70970,71039,72406,72331
11020,"Altoona, PA (Metropolitan Statistical Area)",920,        Military,590,599,597,577,540,494,463,443,432,427,407
11100,"Amarillo, TX (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
11100,"Amarillo, TX (Metropolitan Statistical Area)",10,Total employment (number of jobs),110406,112231,113046,117950,122956,126957,128079,130252,141013,141705,144574
11100,"Amarillo, TX (Metropolitan Statistical Area)",920,        Military,767,750,748,712,680,690,665,650,616,616,624
11180,"Ames, IA (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
11180,"Ames, IA (Metropolitan Statistical Area)",10,Total employment (number of jobs),59004,59379,60139,60384,61090,62763,63481,63650,65058,66585,67065
11180,"Ames, IA (Metropolitan Statistical Area)",920,        Military,598,589,580,573,531,534,529,529,518,516,530
11260,"Anchorage, AK (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
11260,"Anchorage, AK (Metropolitan Statistical Area)",10,Total employment (number of jobs),166968,172470,173979,177780,181242,182105,183521,187454,193548,193959,197879
11260,"Anchorage, AK (Metropolitan Statistical Area)",920,        Military,13714,13509,13949,13644,13278,12067,11404,11249,11160,10874,10965
