CAEMP25S Total Full-Time and Part-Time Employment by SIC Industry 1/,,,,,,,,,,,,,,
(Number of jobs) ,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,
Micropolitan Statistical Area,,,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
10100,"Aberdeen, SD (Micropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
10100,"Aberdeen, SD (Micropolitan Statistical Area)",10,Total employment (number of jobs),24837,25227,25405,26125,27251,27963,28212,28169,28122,28082,28639
10100,"Aberdeen, SD (Micropolitan Statistical Area)",920,        Military,332,315,318,310,292,287,281,285,285,284,277
10140,"Aberdeen, WA (Micropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
10140,"Aberdeen, WA (Micropolitan Statistical Area)",10,Total employment (number of jobs),30353,30040,30713,30095,30403,31012,31006,31066,31180,31549,32398
10140,"Aberdeen, WA (Micropolitan Statistical Area)",920,        Military,382,370,367,357,339,322,313,297,286,287,287
10220,"Ada, OK (Micropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
10220,"Ada, OK (Micropolitan Statistical Area)",10,Total employment (number of jobs),17485,17760,17629,18215,18528,19055,19442,20402,19996,20386,20889
10220,"Ada, OK (Micropolitan Statistical Area)",920,        Military,214,207,205,197,184,185,178,173,171,170,173
10300,"Adrian, MI (Micropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
10300,"Adrian, MI (Micropolitan Statistical Area)",10,Total employment (number of jobs),39178,38822,39556,40045,42271,43890,44341,45213,45416,46273,45713
10300,"Adrian, MI (Micropolitan Statistical Area)",920,        Military,296,290,281,266,237,228,218,208,193,193,193
10460,"Alamogordo, NM (Micropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
10460,"Alamogordo, NM (Micropolitan Statistical Area)",10,Total employment (number of jobs),25181,25315,25604,25892,26665,27670,27246,26855,26666,27329,27207
10460,"Alamogordo, NM (Micropolitan Statistical Area)",920,        Military,5917,5863,5514,5499,5509,5485,5167,4826,4550,4296,4064
10620,"Albemarle, NC (Micropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
10620,"Albemarle, NC (Micropolitan Statistical Area)",10,Total employment (number of jobs),26871,26221,26469,26497,26178,26890,27057,27893,28007,28305,27959
10620,"Albemarle, NC (Micropolitan Statistical Area)",920,        Military,196,196,202,198,203,181,180,175,172,168,159
10660,"Albert Lea, MN (Micropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
10660,"Albert Lea, MN (Micropolitan Statistical Area)",10,Total employment (number of jobs),16650,17139,17439,17589,16934,17177,17570,17835,18334,18996,19172
10660,"Albert Lea, MN (Micropolitan Statistical Area)",920,        Military,185,180,174,163,149,142,134,132,130,127,123
10700,"Albertville, AL (Micropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
10700,"Albertville, AL (Micropolitan Statistical Area)",10,Total employment (number of jobs),40301,40306,41796,44308,44910,47126,47699,47913,47214,45425,44572
10700,"Albertville, AL (Micropolitan Statistical Area)",920,        Military,614,610,629,603,562,561,537,528,499,488,487
10760,"Alexander City, AL (Micropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
10760,"Alexander City, AL (Micropolitan Statistical Area)",10,Total employment (number of jobs),23765,23860,24730,24801,24716,25567,25431,25351,24685,24000,23168
10760,"Alexander City, AL (Micropolitan Statistical Area)",920,        Military,433,430,434,410,378,371,353,347,328,320,317
10820,"Alexandria, MN (Micropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
10820,"Alexandria, MN (Micropolitan Statistical Area)",10,Total employment (number of jobs),16198,16498,16827,17283,18608,19227,20031,20544,21796,22200,23010
10820,"Alexandria, MN (Micropolitan Statistical Area)",920,        Military,160,160,156,148,137,134,129,128,128,127,124
10860,"Alice, TX (Micropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
10860,"Alice, TX (Micropolitan Statistical Area)",10,Total employment (number of jobs),20773,20659,20248,21212,21026,21306,21509,22739,23185,22794,23719
10860,"Alice, TX (Micropolitan Statistical Area)",920,        Military,216,214,210,202,195,196,188,184,171,173,178
10940,"Alma, MI (Micropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
10940,"Alma, MI (Micropolitan Statistical Area)",10,Total employment (number of jobs),17228,17285,17408,17264,18182,18463,19053,19268,19741,19930,20127
10940,"Alma, MI (Micropolitan Statistical Area)",920,        Military,126,123,119,112,100,96,91,86,80,79,83
10980,"Alpena, MI (Micropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
10980,"Alpena, MI (Micropolitan Statistical Area)",10,Total employment (number of jobs),15218,15374,15396,15468,16175,16380,17095,17459,17913,17822,18028
10980,"Alpena, MI (Micropolitan Statistical Area)",920,        Military,101,98,95,90,79,76,72,69,63,62,63
11060,"Altus, OK (Micropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
11060,"Altus, OK (Micropolitan Statistical Area)",10,Total employment (number of jobs),13964,13815,13614,14429,14805,15466,15831,15949,16133,16092,16103
11060,"Altus, OK (Micropolitan Statistical Area)",920,        Military,3477,3393,3101,3225,3270,3447,3248,2301,2191,2154,2021
11140,"Americus, GA (Micropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
11140,"Americus, GA (Micropolitan Statistical Area)",10,Total employment (number of jobs),16805,16475,16616,17500,18106,19994,19954,19564,19452,19652,19355
11140,"Americus, GA (Micropolitan Statistical Area)",920,        Military,150,148,160,157,147,145,141,138,137,135,123
11220,"Amsterdam, NY (Micropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
11220,"Amsterdam, NY (Micropolitan Statistical Area)",10,Total employment (number of jobs),23456,23258,22985,23398,24334,24323,23837,23644,23733,23444,23346
11220,"Amsterdam, NY (Micropolitan Statistical Area)",920,        Military,162,155,150,141,126,118,111,105,99,96,93
11380,"Andrews, TX (Micropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
11380,"Andrews, TX (Micropolitan Statistical Area)",10,Total employment (number of jobs),7068,6987,6588,6353,6261,6004,6126,6260,6138,5763,5951
11380,"Andrews, TX (Micropolitan Statistical Area)",920,        Military,52,51,50,45,42,41,39,37,35,34,33
11420,"Angola, IN (Micropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
11420,"Angola, IN (Micropolitan Statistical Area)",10,Total employment (number of jobs),17613,17542,18322,18780,20112,21208,21016,22009,22117,21944,22061
11420,"Angola, IN (Micropolitan Statistical Area)",920,        Military,140,139,138,135,127,123,117,114,112,112,117
11580,"Arcadia, FL (Micropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
11580,"Arcadia, FL (Micropolitan Statistical Area)",10,Total employment (number of jobs),10894,11478,11458,11836,12237,13040,13449,13915,13529,13320,13032
11580,"Arcadia, FL (Micropolitan Statistical Area)",920,        Military,70,72,71,69,67,67,67,67,66,66,68
11620,"Ardmore, OK (Micropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
11620,"Ardmore, OK (Micropolitan Statistical Area)",10,Total employment (number of jobs),26801,27159,27186,28558,28822,29733,30143,30546,30682,30784,31257
11620,"Ardmore, OK (Micropolitan Statistical Area)",920,        Military,308,302,303,290,274,275,266,267,265,266,270
11660,"Arkadelphia, AR (Micropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
11660,"Arkadelphia, AR (Micropolitan Statistical Area)",10,Total employment (number of jobs),10142,10737,11113,11726,12069,12488,12600,12805,12850,13091,13421
11660,"Arkadelphia, AR (Micropolitan Statistical Area)",920,        Military,164,157,151,150,144,141,136,135,128,126,122
11740,"Ashland, OH (Micropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
11740,"Ashland, OH (Micropolitan Statistical Area)",10,Total employment (number of jobs),23049,23593,23947,23718,24809,25402,25124,25792,26668,27112,27529
11740,"Ashland, OH (Micropolitan Statistical Area)",920,        Military,172,172,170,158,148,143,137,136,133,132,136
11780,"Ashtabula, OH (Micropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
11780,"Ashtabula, OH (Micropolitan Statistical Area)",10,Total employment (number of jobs),40180,40191,40586,41991,43689,44713,45744,46149,47910,48726,49092
11780,"Ashtabula, OH (Micropolitan Statistical Area)",920,        Military,381,377,369,339,314,306,287,283,273,269,276
11820,"Astoria, OR (Micropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
11820,"Astoria, OR (Micropolitan Statistical Area)",10,Total employment (number of jobs),19048,18769,19091,19231,19884,20493,20873,21502,21806,21823,22095
11820,"Astoria, OR (Micropolitan Statistical Area)",920,        Military,487,478,490,522,542,528,500,479,479,466,473
11860,"Atchison, KS (Micropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
11860,"Atchison, KS (Micropolitan Statistical Area)",10,Total employment (number of jobs),8503,8608,8670,8798,8899,9006,8811,9024,10131,10448,10393
11860,"Atchison, KS (Micropolitan Statistical Area)",920,        Military,117,118,109,107,103,91,85,83,81,80,80
11900,"Athens, OH (Micropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
11900,"Athens, OH (Micropolitan Statistical Area)",10,Total employment (number of jobs),24368,24315,24606,25142,25718,26253,26629,26866,27342,27531,27817
11900,"Athens, OH (Micropolitan Statistical Area)",920,        Military,236,234,230,211,195,189,181,177,173,173,179
11940,"Athens, TN (Micropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
11940,"Athens, TN (Micropolitan Statistical Area)",10,Total employment (number of jobs),22299,21907,22024,22920,23614,23677,23563,23980,25204,25463,25398
11940,"Athens, TN (Micropolitan Statistical Area)",920,        Military,255,253,241,227,212,202,200,197,186,181,196
11980,"Athens, TX (Micropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
11980,"Athens, TX (Micropolitan Statistical Area)",10,Total employment (number of jobs),18532,18367,19034,20337,21318,22279,23599,24790,26361,27890,28557
11980,"Athens, TX (Micropolitan Statistical Area)",920,        Military,213,209,210,199,190,194,188,188,183,184,188
12120,"Atmore, AL (Micropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
12120,"Atmore, AL (Micropolitan Statistical Area)",10,Total employment (number of jobs),15843,16101,16200,17082,16987,17383,17602,18085,18076,18119,18882
12120,"Atmore, AL (Micropolitan Statistical Area)",920,        Military,317,313,321,305,281,275,261,259,242,233,229
12140,"Auburn, IN (Micropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
12140,"Auburn, IN (Micropolitan Statistical Area)",10,Total employment (number of jobs),20284,20391,20811,21417,22045,23824,24398,25627,27268,28280,28298
12140,"Auburn, IN (Micropolitan Statistical Area)",920,        Military,181,180,177,172,161,152,143,140,136,137,142
