CAEMP25N Total Full-Time and Part-Time Employment by NAICS Industry 1/,,,,,,,,,,,,,,,,,,,,,
(Number of jobs) ,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
998,United States (Metropolitan Portion),,Employment by place of work,,,,,,,,,,,,,,,,,,
998,United States (Metropolitan Portion),10,Total employment (number of jobs),142876022,142590402,143452007,146128722,149308196,152553091,155904064,155704073,150901632,150313128,153263708,155994342,159160265,162856897,166854897,169926034,173308042,176955385
998,United States (Metropolitan Portion),2002,      Military,1834128,1859174,1871970,1847890,1800860,1814096,1817187,1853101,1866942,1874124,1856101,1835035,1813073,1763026,1747205,1721040,1722942,1718101
10180,"Abilene, TX (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,,,,,,,,
10180,"Abilene, TX (Metropolitan Statistical Area)",10,Total employment (number of jobs),89511,90338,91132,91998,92937,94097,96484,99264,97269,96809,98193,99843,101199,102318,102565,102543,102840,105026
10180,"Abilene, TX (Metropolitan Statistical Area)",2002,      Military,5125,5466,5584,5793,5433,5285,5221,5170,5138,5128,4996,4854,4703,4573,4357,4409,4620,4666
10420,"Akron, OH (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,,,,,,,,
10420,"Akron, OH (Metropolitan Statistical Area)",10,Total employment (number of jobs),396954,396663,396391,404591,412097,417595,424012,424079,404521,402554,407811,412049,414493,421205,425964,427308,428890,432087
10420,"Akron, OH (Metropolitan Statistical Area)",2002,      Military,1900,1964,1959,1934,1918,1809,1762,1824,1848,1821,1825,1809,1807,1779,1780,1773,1764,1761
10500,"Albany, GA (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,,,,,,,,
10500,"Albany, GA (Metropolitan Statistical Area)",10,Total employment (number of jobs),78011,77100,78282,78126,80177,80621,81153,80663,78714,77793,79189,79388,79691,80572,81396,81686,81997,82018
10500,"Albany, GA (Metropolitan Statistical Area)",2002,      Military,1254,1220,1277,1116,1029,986,952,894,895,912,868,805,775,746,736,706,683,680
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,,,,,,,,
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",10,Total employment (number of jobs),54749,54136,53710,54697,57088,58162,59546,59473,56122,55562,55341,55676,56155,57657,58931,59476,61617,63493
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",2002,      Military,335,346,349,341,331,333,330,326,335,331,336,331,327,322,315,307,306,301
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,,,,,,,,
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",10,Total employment (number of jobs),516432,514437,518106,524002,530740,534257,540904,543929,535314,528095,531541,537634,543163,548366,556334,563143,570825,577633
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",2002,      Military,3652,3556,3363,3100,3145,3128,2929,3237,3140,3108,3078,3337,3348,3253,3311,3331,3265,3344
10740,"Albuquerque, NM (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,,,,,,,,
10740,"Albuquerque, NM (Metropolitan Statistical Area)",10,Total employment (number of jobs),448753,448871,454370,466415,476212,494456,503901,503242,486519,477820,476883,476646,479153,483214,489286,497151,503702,510248
10740,"Albuquerque, NM (Metropolitan Statistical Area)",2002,      Military,6327,6397,6440,6417,6231,6164,5961,5818,5852,5970,6127,6182,6072,5877,5598,5669,5705,5753
10780,"Alexandria, LA (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,,,,,,,,
10780,"Alexandria, LA (Metropolitan Statistical Area)",10,Total employment (number of jobs),74686,75251,75320,77127,79635,83038,84415,84931,82896,81419,81795,81062,80881,81636,81880,81630,81146,81408
10780,"Alexandria, LA (Metropolitan Statistical Area)",2002,      Military,756,747,734,697,663,658,644,650,639,746,723,708,719,704,665,654,648,569
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,,,,,,,,
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",10,Total employment (number of jobs),396203,395667,400604,408168,418886,428104,435473,435265,424470,425825,432726,438772,445550,452871,459141,466990,473665,482097
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",2002,      Military,2365,2372,2454,2304,2261,2300,2190,2148,2123,2132,2094,2139,2119,2081,2085,2092,2095,2072
11020,"Altoona, PA (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,,,,,,,,
11020,"Altoona, PA (Metropolitan Statistical Area)",10,Total employment (number of jobs),72750,72974,73403,74357,75271,75417,76076,75332,74055,73707,74408,74542,75189,75216,75560,75276,75601,75923
11020,"Altoona, PA (Metropolitan Statistical Area)",2002,      Military,421,414,414,389,369,375,354,344,335,334,325,332,328,320,320,314,311,303
11100,"Amarillo, TX (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,,,,,,,,
11100,"Amarillo, TX (Metropolitan Statistical Area)",10,Total employment (number of jobs),136232,137018,139781,142937,144955,148345,151879,154926,154258,152820,155100,156747,159562,160731,162740,164713,164761,166603
11100,"Amarillo, TX (Metropolitan Statistical Area)",2002,      Military,605,613,617,633,638,624,605,612,619,601,623,704,685,664,639,583,591,610
11180,"Ames, IA (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,,,,,,,,
11180,"Ames, IA (Metropolitan Statistical Area)",10,Total employment (number of jobs),69062,69334,69908,71202,71916,72886,73697,73810,72907,72318,73103,73379,75038,75869,77356,77060,77718,78249
11180,"Ames, IA (Metropolitan Statistical Area)",2002,      Military,488,489,501,510,495,495,477,488,489,493,487,479,474,471,453,440,444,436
11260,"Anchorage, AK (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,,,,,,,,
11260,"Anchorage, AK (Metropolitan Statistical Area)",10,Total employment (number of jobs),203258,207654,211659,215930,220731,226471,231097,233394,233589,233963,236733,242955,244407,244035,245176,242891,242789,244216
11260,"Anchorage, AK (Metropolitan Statistical Area)",2002,      Military,10847,11316,11441,12204,12724,14012,13990,14049,14780,14807,14663,15069,15211,14488,13726,12488,12286,12615
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,,,,,,,,
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",10,Total employment (number of jobs),244933,245437,243666,245401,247846,247735,247748,242983,238387,241984,245292,246785,250522,252688,258276,261961,266796,271686
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",2002,      Military,682,706,700,705,671,668,666,656,668,687,690,661,633,627,624,617,621,626
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,,,,,,,,
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",10,Total employment (number of jobs),59639,60124,60521,62604,63108,63816,65674,64696,61551,60194,60613,59998,58415,58093,58053,57686,58628,59020
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",2002,      Military,685,672,664,750,703,710,671,561,620,636,667,608,587,576,575,559,542,522
11540,"Appleton, WI (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,,,,,,,,
11540,"Appleton, WI (Metropolitan Statistical Area)",10,Total employment (number of jobs),135693,136552,138629,142535,143877,145286,147868,146873,142760,141901,144429,146010,147002,150000,151895,154732,155134,156716
11540,"Appleton, WI (Metropolitan Statistical Area)",2002,      Military,723,718,715,696,654,674,641,657,653,637,653,673,667,662,658,640,643,635
11700,"Asheville, NC (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,,,,,,,,
11700,"Asheville, NC (Metropolitan Statistical Area)",10,Total employment (number of jobs),214044,214661,218080,223209,229213,236531,246173,244313,234371,233877,238793,241450,246183,252655,259992,267742,273581,280698
11700,"Asheville, NC (Metropolitan Statistical Area)",2002,      Military,1102,1123,1146,1073,1031,1094,1110,1117,1091,1074,1140,1146,1125,1116,1115,1102,1082,1056
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,,,,,,,,
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",10,Total employment (number of jobs),95547,96128,97807,99793,103703,107249,111049,111948,109067,108282,108818,110126,112556,114075,117351,121996,126066,128178
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",2002,      Military,947,967,916,832,891,913,874,877,899,827,669,635,615,605,613,613,612,611
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,,,,,,,,
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",10,Total employment (number of jobs),2809261,2795141,2813569,2896329,3014860,3134434,3232964,3206861,3087160,3070701,3151193,3199601,3285224,3420853,3540455,3652626,3774198,3875139
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",2002,      Military,18461,19235,19647,19012,18907,19194,19497,19736,19612,19701,18121,16732,16582,16493,16622,16575,16552,16603
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,,,,,,,,
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",10,Total employment (number of jobs),171600,171667,174184,177412,183113,184525,183099,181292,172715,171005,170762,171854,171402,168471,164848,165234,164114,169240
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",2002,      Military,788,771,789,792,737,779,819,852,882,892,892,897,962,915,936,828,838,836
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,,,,,,,,
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",10,Total employment (number of jobs),54497,56381,57402,61407,63934,67109,69314,68626,66847,66719,69655,71770,73933,76548,78203,80739,83721,84897
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",2002,      Military,739,723,724,828,806,828,818,706,724,726,742,725,722,726,735,731,735,732
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,,,,,,,,
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",10,Total employment (number of jobs),269418,269277,273401,279068,282917,284058,289914,289736,284308,284786,288575,289106,292207,299601,307239,311024,318487,323779
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",2002,      Military,12157,11770,11914,11449,10811,11011,11499,12318,12860,12811,11838,11571,12116,12707,13083,12992,13369,13321
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,,,,,,,,
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",10,Total employment (number of jobs),863762,856715,864159,886034,934981,981793,1042215,1072058,1068447,1082191,1116595,1154689,1211230,1264088,1324618,1382466,1449768,1506528
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",2002,      Military,3471,3602,3580,3717,3510,3595,3825,4093,4213,4205,4227,4197,4164,4121,4172,4281,4390,4438
12540,"Bakersfield, CA (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,,,,,,,,
12540,"Bakersfield, CA (Metropolitan Statistical Area)",10,Total employment (number of jobs),308719,314541,321579,325067,341791,354866,363988,364533,349093,348449,361933,381650,393900,404208,404894,406695,412040,424583
12540,"Bakersfield, CA (Metropolitan Statistical Area)",2002,      Military,5357,5288,5296,5385,5057,4532,3919,3667,3667,3817,3936,4076,3984,3895,3857,3901,3955,3939
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,,,,,,,,
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",10,Total employment (number of jobs),1547690,1558796,1566963,1593882,1623895,1658564,1689183,1686091,1649432,1645096,1677182,1707280,1734243,1755242,1788464,1813695,1837907,1868945
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",2002,      Military,25610,26027,25406,24210,24170,24963,24141,24270,24475,24524,25561,26127,26048,25574,26619,26549,26677,26621
12620,"Bangor, ME (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,,,,,,,,
12620,"Bangor, ME (Metropolitan Statistical Area)",10,Total employment (number of jobs),90067,90467,89799,90971,92341,93316,94140,93709,91487,89458,89529,89690,90227,90527,90466,90409,90783,92177
12620,"Bangor, ME (Metropolitan Statistical Area)",2002,      Military,688,672,647,608,560,552,542,579,506,489,486,493,490,482,485,476,463,454
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,,,,,,,,
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",10,Total employment (number of jobs),131337,133340,135968,138761,139159,138664,141003,139828,136753,136163,136699,139344,142564,144999,150122,151452,152680,154467
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",2002,      Military,1237,1280,1272,1225,1177,1231,1224,1229,1239,1274,1238,1258,1238,1146,1170,1167,1178,1189
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,,,,,,,,
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",10,Total employment (number of jobs),419933,421115,427177,430922,447001,468436,479796,487178,486007,481646,486911,494149,506659,518827,523290,525295,530726,536834
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",2002,      Military,3873,3853,3879,3638,3504,3542,3598,3832,3815,4351,4091,4035,4124,4070,3887,3830,3755,3318
12980,"Battle Creek, MI (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,,,,,,,,
12980,"Battle Creek, MI (Metropolitan Statistical Area)",10,Total employment (number of jobs),77978,77978,76411,76704,75646,74704,74215,72227,68941,68650,69084,68495,69548,70345,71316,71224,70880,70390
12980,"Battle Creek, MI (Metropolitan Statistical Area)",2002,      Military,312,335,457,434,340,294,320,290,284,288,306,297,285,286,279,267,262,263
13020,"Bay City, MI (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,,,,,,,,
13020,"Bay City, MI (Metropolitan Statistical Area)",10,Total employment (number of jobs),52307,51737,51158,51482,50662,50201,50347,49858,47922,47473,47644,48000,48196,48042,47382,47519,46766,46736
13020,"Bay City, MI (Metropolitan Statistical Area)",2002,      Military,246,248,248,242,229,228,229,228,229,233,238,249,242,238,236,229,223,224
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,,,,,,,,
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",10,Total employment (number of jobs),193752,192762,193921,191526,195198,203221,206608,209036,204734,203230,207905,207797,204949,210520,212976,209717,210780,213977
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",2002,      Military,1125,1104,1097,1082,1018,999,1012,1058,1088,1080,1082,1063,1051,991,977,975,973,950
13220,"Beckley, WV (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,,,,,,,,
13220,"Beckley, WV (Metropolitan Statistical Area)",10,Total employment (number of jobs),54716,54883,54029,55171,56027,56871,57277,57762,56337,56736,58011,58220,56915,56254,55257,53333,53715,54185
13220,"Beckley, WV (Metropolitan Statistical Area)",2002,      Military,847,841,818,795,792,776,762,841,854,822,667,633,620,611,586,555,539,541
13380,"Bellingham, WA (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,,,,,,,,
13380,"Bellingham, WA (Metropolitan Statistical Area)",10,Total employment (number of jobs),94252,96470,99418,102987,107985,110385,114493,114978,110709,109057,110303,112790,115118,117170,119693,123401,126487,129204
13380,"Bellingham, WA (Metropolitan Statistical Area)",2002,      Military,645,658,675,676,654,655,655,662,677,683,657,642,625,613,622,628,633,625
13460,"Bend, OR (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,,,,,,,,
13460,"Bend, OR (Metropolitan Statistical Area)",10,Total employment (number of jobs),76099,77415,80405,86200,92848,98924,102267,98956,92268,90538,91525,92973,96990,103032,109460,119422,126915,131032
13460,"Bend, OR (Metropolitan Statistical Area)",2002,      Military,390,416,427,429,434,446,447,446,456,448,456,454,456,458,458,455,458,454
13740,"Billings, MT (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,,,,,,,,
13740,"Billings, MT (Metropolitan Statistical Area)",10,Total employment (number of jobs),99701,100724,101673,104544,106966,108832,112638,113507,111282,110687,112650,114730,115009,116404,119065,119788,120390,121554
13740,"Billings, MT (Metropolitan Statistical Area)",2002,      Military,810,828,817,827,817,813,822,834,841,843,875,897,885,875,860,835,831,814
